游戏名,vndb_id,中文名,别名,发行年份,品牌,限制级,脚本,原画,音乐,声优,难度,平均分,评分人数,rank,系列作,时长,时长分钟,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11
セレクトオブリージュ,v47175,天选庶民的真命之选,,2024,madosoft,R18,若葉 祥慶,柚子奈 ひよ、藤田、三好 奈緒,菊田 大介、Elements Garden、オトロジック、笠井 雄太、Seonoo Kim,奏雨、秋野 花、相模 恋、七種 結花,easy、normal,5.1,987,10370,否,长篇,1979,科幻,,,,,,,,,,
たねつみの歌,v50081,播种之谣,Seedsow Lullaby,2024,iMel Inc.,全年龄,Kazuki,みんめい、マニアニ、popman3580,原田 萌喜,田村 睦心、飯沼 南実、渡部 紗弓、早瀬 雪未,easy、normal,7.6,824,1043,否,中篇,900,奇幻,时间旅行,,,,,,,,,
オトメ世界の歩き方,v48125,少女世界的生存之道,,2024,Orthros,R18,NYAON,ミニョン、わいっしゅ,水城 新人、木村 孝明,歩 サラ、松岡 侑里,easy、normal,5.9,766,9508,否,中篇,1480,战斗,科幻,末日,记忆篡改,反乌托邦,,,,,,
プトリカ 1st.cut,v49261,宝石少女 1st.cut:The Reason She Must Perish,,2024,Totometori,全年龄,ルクル,すしめかぶ,花徒めと,あさみ ほとり、湯宮 由海、空賀 花、榎木 実佳、間宮 菜南子,easy、normal,6.7,635,5608,是,短篇,243,战斗,奇幻,犯罪,同性恋,,,,,,,
D.C.5 ～ダ・カーポ5～,v36687,,DC5、初音岛5,2023,CIRCUS,R18,相良 中通、ハサマ、満腹亭白米,鷹乃 ゆき、たにはら なつき、如月 ゆう、やたぬき圭、伊左木ひいろ,yozuca*、rino、lotta、chokix、Anzie、鈴木 ぷよ,加隈 亜衣、秋野 花、月野 きいろ、相模 恋、小波 すず、天知 遥、石見 舞菜香、小岩井ことり、関根 明良、古賀 葵,normal,7.2,210,2461,是,长篇,2296,魔法,岛屿,奇幻,,,,,,,,
GINKA,v38430,,,2023,Frontwing,全年龄,紺野 アスタ,渡辺 明夫、ななか まい、ゆさの,松本 文紀,長谷川 育美,easy、normal,5.8,1619,9659,否,中篇,738,悬疑,战斗,奇幻,夏天,转生/轮回,岛屿,民俗,,,,
パラノマサイト FILE23 本所七不思議,v42561,灵视异闻 FILE23 本所七大不可思议,,2023,SQUARE ENIX,全年龄,石山 貴也、濱田 雄偉,小林 元,岩崎 英則,无配音,easy、normal,7.3,1223,2038,是,中篇,792,悬疑,奇幻,时间旅行,转生/轮回,犯罪,民俗,meta,,,,
ヒラヒラヒヒル,v38429,Hira Hira Hihiru,,2023,BA-KU,全年龄,瀬戸口 廉也,禅之助,MANYO,山本 兼平、室 元気、上田 麗奈、河本 啓佑、安西 英美、水中 雅章、河野 茉莉、星 祐樹、小柳 基、熊谷 海麗,easy、normal,7.9,1294,593,否,中篇,798,疾病,,,,,,,,,,
あまいろショコラータ3,v41339,巧克甜恋3,Amairo Chocolata 3,2023,Cabbage Soft,R18,山蕗 順平,梱枝 りこ、しらたま,藤井 稿太郎,明羽 杏子,normal,6.9,391,3946,是,中篇,650,咖啡厅,,,,,,,,,,
サクラノ刻 -櫻の森の下を歩む-,v20431,樱之刻 - 于樱花之森下漫步,サクラノ刻,2023,Makura,R18,SCA-自,SCA-自、基4%、吉田 誠治、籠目、いぬきら、兎桐茸子,Shade、松本 文紀、GORO、viewtorino、おはる,越 雪光、手塚 りょうこ、綾音 まこ、夏和小、広山 和重,beginner、easy、normal,8.1,3447,299,是,长篇,2850,同性恋,,,,,,,,,,
フタマタ恋愛,v32811,恋爱成双,ふたこい、Futakoi、劈腿恋,2022,ASa Project,R18,八日 なのか,夕凪 セシナ、結城 リカ、冬壱 もんめ、たかへろ、アンのうん,山下 航生、朝霧 はやと、rian,夏峰 いろは、春乃 いろは、森谷 こころ、東雲 りあ,easy、normal,6.7,1760,5444,否,中篇,1530,多角恋,,,,,,,,,,
スタディ§ステディ2,v32624,Study § Steady 2,,2022,Marmalade,R18,和泉 万夜、J・さいろー、吉川 芳佳、筆 氏名、桜城 十萌,emily、木場 智士、まろたろ、CWF美術部,solfa、橋咲 透、こはるん,ヒマリ、歩 サラ、風鈴 みすず、小波 すず,normal,6.8,366,4652,是,中篇,1215,,,,,,,,,,,
BLACK SHEEP TOWN,v21069,黑羊镇,,2022,BA-KU,全年龄,瀬戸口 廉也,コーンフレーcu、taninon、はとば、ぽち三,さっぽろ ももこ,无配音,normal,8.3,428,219,否,超长篇,3050,悬疑,血腥,超能力,转生/轮回,阴谋,犯罪,疾病,,,,
廃村少女 ～妖し惑ひの籠の郷～,v38037,废村少女 ～妖异魅惑的笼之乡～,はいそんしょうじょ ～あやし まどいの かごのさと～、废村少女,2022,Escu:de,R18,御導 はるか、シャア専用◎、薄迷、名井世それ、野原 駈,ちょびぺろ、蒼瀬、あおいあいう、佑りん,エスクード、アメディオ,御苑生 メイ、風鈴 みすず、乙倉 由依,easy、normal,6.8,1491,5079,否,中篇,1411,悬疑,乡村,民俗,,,,,,,,
ヘンタイ・プリズン,v31055,变态监狱,HENTAI · PRISON,2022,Qruppo,R18,倉骨 治人、神近 ゆう,如月 千幸、浮丸 つぼね、胡太郎、イチトレイ,ウミガメ、池木 紗々、かしこ、えびかれー伯爵,相模 恋、みたか りん、白砂菓 夏海、蒼井 まどか、桜舞 じゅりあ、文月 弌,beginner、easy、normal,8.6,3708,57,是,超长篇,3387,悬疑,战斗,阴谋,岛屿,创作/设计题材,,,,,,
ジュエリー・ハーツ・アカデミア -We will wing wonder world-,v33175,宝石心学园,ジュエハ,2022,Cabbage Soft,R18,冬茜 トム,しらたま、よねぞう,藤井 稿太郎,相模 恋、月白 まひる、鳥飼 すず、猫弍 みるく,easy、normal,7.2,1016,2825,是,长篇,2400,战斗,超能力,战争,,,,,,,,
小白兔电商,v32747,,Bunny E-shop,2021,Juzi Ban,全年龄,被炒的炒饭,被炒的炒饭、floc,Windbell Project,柳 知萧、月夜桥、森中人、海棠不言、赵 爽,easy、normal,6.6,625,6269,否,中篇,1082,国产,,,,,,,,,,
LUNARiA -Virtualized Moonchild-,v29444,,,2021,Key,全年龄,松山 剛,わいっしゅ、ふむゆん、藤田、佐伯 ソラ,折戸 伸治、水月 陵、どんまる、しょうゆ、森藤 晶司、天休 ひさし,田中 美海、石井 孝英、若井 友希、八巻 アンナ,easy、normal,6.7,652,5607,否,短篇,505,科幻,单女主,,,,,,,,,
ハッピーライヴ ショウアップ！,v29884,,ハラショウ！、Happy Live Show Up!、harashou、Harashow!,2021,FAVORITE,R18,高山 大河,司田 カズヒロ、ミズタマ、ベコ太郎、ヒラサト、わいっしゅ,忍、小高 光太郎、Studio Charis Node,澤田 なつ、米倉 沙弥、夏和小、八ッ橋 しなもん、井伊 香織、森崎 乃々華,normal,6.3,250,7920,是,长篇,2192,魔法,奇幻,,,,,,,,,
冥契のルペルカリア,v29383,冥契的牧神节,るぺかり、Rupekari、Meikei no Lupercalia,2021,Uguisu Kagura,R18,ルクル,桐葉、萩野 小唄、Ruki,めと,奏雨、小山 さほみ、花澤 さくら、小波 すず、梅木 ちはる、東 シヅ,easy、normal,7.5,1765,1271,否,中篇,1575,奇幻,悬疑,真女主,,,,,,,,
LOOPERS -ルーパーズ-,v29445,时廻者,ルーパーズ、L∞PERS,2021,Key,全年龄,竜騎士07,鳥の,どんまる、髙梨 泰輔、折戸 伸治、水月 陵、細井 聡司、しょうゆ、森藤 晶司、天休 ひさし、すみ,木村 良平、井澤 詩織、高塚 智人、河野 ひより、金子 彩花,easy、normal,6,1396,9170,否,短篇,363,时间旅行,夏天,单女主,疾病,,,,,,,
クナド国記,v32021,久那土国记,,2021,Purple software,R18,御影,こもわた 遙華、克、彩 雅介、わいっしゅ、アサヒナ ヒカゲ,YUKI NAKANO、山口 たこ,秋野 花、鈴谷 まや、小波 すず、蒼乃 むすび,easy、normal,6.5,553,6614,否,长篇,2171,悬疑,战斗,奇幻,科幻,失忆,超能力,末日,,,,
ふゆから、くるる。,v30012,冬暮川滚滚,ふゆくる、Fuyukuru,2021,SILKY'S PLUS,R18,渡辺 僚一,あめと ゆき、小林 勝寿、なのはなこひな,SHIM,かわしま りの、青葉 りんご、花澤 さくら、上原 あおい、月野 きいろ、水野 七海、猫村 ゆき、東 シヅ,easy、normal,7.2,1000,2612,是,中篇,1154,悬疑,科幻,血腥,犯罪,雪,同性恋,,,,,
海沙风云,v29371,海沙风云,海沙风云 Far Away、Far Away、彼方へ,2021,Yi Mei Gongzuoshi,全年龄,云卷语文书,Sam_Ashton、核燃黑猫,EMAGE,尾狐殿、师欣、紫丞少主、阿戈伊奥、傻莓酱、Geass、Kenz、妖女、岚风蜂蜜绿茶、百劫星罗,easy、normal,7.3,722,2017,否,中篇,1688,悬疑,战斗,阴谋,国产,,,,,,,
PARQUET,v31807,,,2021,Yuzusoft,全年龄,天宮 りつ,こぶいち、こもわた 遙華、羽純 りお、むりりん、ろど,Angel Note、Famishin、森 まもる、井ノ原 智、Ena,東山 奈央,easy、normal,5.7,971,9900,否,中篇,622,悬疑,科幻,,,,,,,,,
創作彼女の恋愛公式,v31136,创作彼女的恋爱方程式,创作彼女的恋爱公式,2021,Aino+Links,R18,工藤 啓介,有葉、志水 マサトシ、永山 ゆうのん、TwinBox,折倉 俊則、柳 英一朗、樋口 秀樹、西坂 恭平,くすはら ゆい、夏峰 いろは、明羽 杏子、葉月 ひかり,easy、normal,6.1,977,9044,否,中篇,1560,真女主,创作/设计题材,,,,,,,,,
恋愛×ロワイアル,v28633,恋爱X决胜战,恋ロワ、Koirowa、Renai X Royale - Love's a Battle,2020,ASa Project,R18,八日 なのか,夕凪 セシナ、結城 リカ、冬壱 もんめ、たかへろ、なつき ゆう、秋月 すいれん、ユウキ ナオヒロ,山下 航生、朝霧 はやと、rian,杏子 御津、白月 かなめ、小鳥居 夕花、東雲 りあ、木之 みき,easy、normal,6.4,1102,7293,否,中篇,1796,多角恋,meta,,,,,,,,,
ドーナドーナ いっしょにわるいことをしよう,v27519,多娜多娜 一起干坏事吧,doHna:doHna,2020,Alice Soft,R18,ダイス ころがし,魚介、BLADE、INO、しのづか あつと、さくや ついたち、竜太、小豆TANK、てつぶた、FBC、黒本君、サガノ ユウジ,水夏 える、田中 文久、江口 孝宏,唯香、榛名 れん、金松 由花、野☆球、鈴谷 まや、夏村 伊介、ますおか ゆうじ、谷根 千、小波 すず、飴川 紫乃、百千 るか、東 シヅ、二階堂 明日郎、夏樹 柑菜、牛蛙 キタロウ,beginner、easy、normal,7.4,3174,1682,否,长篇,2700,科幻,反乌托邦,,,,,,,,,
白昼夢の青写真,v26987,白日梦的构想图,夢青、Musei、The girl who's called the world、yonagi,2020,Laplacian,R18,御導 はるか、モーリー、緒乃 ワサビ、あけお、はまぐり 孤之助,霜降、ぺれっと,上原 一之龍、小高 光太郎、Xelfery、Muu Dogg、かしこ、momo、T･H、西村 拓真、Ram4.MarkII,浅川 悠,easy、normal,7.4,1822,1673,否,长篇,1935,科幻,失忆,末日,记忆篡改,梦境,真女主,疾病,,,,
ATRI -My Dear Moments-,v27448,亚托莉 -我挚爱的时光-,,2020,Makura、Frontwing,全年龄,紺野 アスタ,田口 まこと、minori、マグナム、わいっしゅ、ゆさの、基4,松本 文紀,赤尾 ひかる,beginner、easy、normal,7.1,6967,3201,否,中篇,795,科幻,夏天,末日,岛屿,,,,,,,
マルコと銀河竜,v26902,丸子与银河龙,Marco and the Galaxy Dragon,2020,HARUKAZE,全年龄,はと,大空 樹、ひずみ、BoCuden、プシュケー、わいっしゅ、真夏 ろこ、河地 りん、二条 なで、田中 優士、寿司山、かんべ ぴろしさ、杜もり、星野 拓、ばんか、こばやし まつり、蕊坂 哉人、rice、さく,森 リーモ 慎之介、斎藤 優輝、ぽみ、RE-D,井澤 詩織、吉田 有里、田村 睦心、石見 舞菜香,beginner、easy、normal,7.4,2639,1638,否,短篇,420,科幻,失忆,,,,,,,,,
アインシュタインより愛を込めて,v24987,爱因斯坦携爱敬上,アイこめ、Aikome、Einstein with Love、来自爱因斯坦之爱、爱因斯坦爱意满满的来信,2020,VISUAL ARTS,R18,新島 夕,こもわた 遙華、きみしま 青、志水 マサトシ,水月 陵、竹下 智博,風音、佐本 二厘、杏 花、月野 きいろ、桜木 ひな,easy、normal,5.8,968,9724,是,中篇,1039,科幻,夏天,超能力,转生/轮回,阴谋,机甲,真女主,疾病,,,
徒花異譚,v27457,徒花异谭,Adabana Odd Tales,2020,Liar-soft,全年龄,海原 望,大石 竜子,さっぽろ ももこ、松本 慎一郎、木村 孝明、内山 利彦,南 早紀、加藤 渉,easy、normal,7.2,752,2772,否,短篇,514,奇幻,失忆,meta,梦境,疾病,,,,,,
星空鉄道とシロの旅,v28297,星空列车与白的旅行,星シロ、Hoshishiro、Hoshitetsu,2020,Shiratamaco,全年龄,さかき 傘,しらたま、ミニョン、わいっしゅ,project lights,芹澤 優、大野 柚布子、星谷 美緒,beginner、easy、normal,7.5,3471,1550,否,短篇,525,奇幻,真女主,疾病,,,,,,,,
ハミダシクリエイティブ,v27449,常轨脱离Creative,ハミクリ、Hamikuri、哈密达斯创意、哈密达斯、灵感满溢的甜蜜创想、富婆妹,2020,Madosoft,R18,甲木 順之助,宇都宮 つみれ、茜屋,まつむー、YUKI NAKANO、田中 俊裕、堀江 晶太、山口 たこ、よる。,秋野 花、戸田 めぐみ、堀場 美希、紬 雪乃,beginner、easy、normal,6.8,3049,4719,否,长篇,2632,夏天,创作/设计题材,,,,,,,,,
かけぬけ★青春スパーキング,v28286,绽放★青春全力向前冲！,Kakenuke Seishun Sparking!,2020,SAGA PLANETS,R18,籐太、モーリー、保住 圭、瀬尾 順、砥石 大樹、にっし～,長浜 めぐみ、ほんたにかなえ、とらのすけ、有末 つかさ、ぴこぴこぐらむ、秋月 すいれん、ユウキ ナオヒロ、羽咲 せいか,水月 陵、樋口 秀樹、高瀬 一矢、松本 慎一郎、YUKI NAKANO、田中 俊裕、山口 朗彦、えびかれー伯爵、山口 たこ,澤田 なつ、上原 あおい、明羽 杏子、丸葉 沙綾、水桃 もな、左利 ぴんく,easy、normal,6.1,968,9057,否,长篇,2655,夏天,民俗,,,,,,,,,
天ノ少女,v17012,天之少女,Kara no Shoujo 3、Ama no Shoujo、kns3、【穗见学园汉化组汉化组】,2020,Innocent Grey,R18,鈴鹿 美弥,杉菜 水姫、とよ、翡翠,MANYO、aya Sueki、Jerome Kern,柚木 かなめ、葉村 夏緒、秋城 柚月、かわしま りの、滝沢 アツヤ、Back麗男、原田 友貴、機知 通、河村 眞人、髭内 悪太,easy、normal,8.1,1833,300,是,中篇,1752,悬疑,血腥,犯罪,,,,,,,,
紅月ゆれる恋あかり,v28712,红月摇曳的恋之星火,ゆれあか、Yureaka、浅蓝汉化小番队,2020,CRYSTALiA,R18,若林 浩太郎、瑞守 ねおん、若瀬 諒、砥石 大樹,ぺろ、うすめ 四郎、白恵 りえ、ギザン、サイキライダー、noyF、きちえも,ALNEAR,あじ 秋刀魚、橘 まお、上原 あおい、北大路 ゆき,easy、normal,6.9,770,4237,是,中篇,1320,战斗,岛屿,,,,,,,,,
保健室のセンセーとシャボン玉中毒の助手,v28666,保健室的老师与沉迷吹泡泡的助手,ホケジョ、Hokejo,2020,Navel,R18,なかひろ,さんた 茉莉,Arte Refact、矢鴇 つかさ,真宮 ゆず,easy、normal,7.1,911,3074,是,中篇,900,转生/轮回,乡村,单女主,,,,,,,,
アマカノ2,v26307,甜蜜女友2,,2020,Azarashi Soft,R18,龍 岳来,ピロ水、塩澤 良憲、茜屋、chiki-co、わいっしゅ,Meis Clauson、斎藤 悠弥、Sawamurah、Anzie,神代 岬、歩 サラ、明羽 杏子,easy、normal,7.4,1812,1916,是,中篇,1725,,,,,,,,,,,
終ノ空 remake,v28806,终之空 remake,End Sky Remake、TsuiRE、终之空Remake、TnSR,2020,KeroQ,R18,SCA-自,SCA-自、基4%、吉田 誠治、新川 尚士、木根C,szak、Time Bandit、ryo、H.B STUDIO、viewtorino,佐山 森、花澤 さくら、小次狼、風花 ましろ、北大路 ゆき、東 シヅ,easy、normal,7.5,1467,1547,否,中篇,1024,夏天,阴谋,末日,电波,超现实,同性恋,,,,,
推しのラブより恋のラブ,v27236,一生推不如一生恋,Oshi no Love yori Ren no Love、OshiLove、推しラブ、오시러브、SukeraSomero,2020,SukeraSomero,R18,オグリ アヤ,DSマイル,よる。,猫村 ゆき、北大路 ゆき,easy、normal,5.9,683,9479,否,短篇,298,同性恋,,,,,,,,,,
D.C.4 ～ダ・カーポ4～,v24351,初音岛4,DC4、D.C.4 ~Da Capo 4~,2019,CIRCUS,R18,愛羽、日富美 信吾、保住 圭、相良 中通、夕凪 和泉、ハサマ、満腹亭白米,鷹乃 ゆき、たにはら なつき、蜜桃 まむ、如月 ゆう、しゃゆり,yozuca*、tororo、rino、lotta、chokix、Anzie、okky,遥 そら、奏雨、杏子 御津、歩 サラ、白雪 碧、くすはら ゆい、阿澄 佳奈、加藤 英美里、水瀬 いのり、東山 奈央、結城 ほのか、伊藤 彩沙、前川 涼子、尾崎 由香,normal,6.7,216,5130,是,超长篇,3039,岛屿,,,,,,,,,,
スタディ§ステディ,v24689,,见习§恋人,2019,Marmalade,R18,J・さいろー、吉川 芳佳、水瀬 拓未、しげた、雪月 陽花、高山 大河、ひなぢ とり、筆 氏名、山蕗 順平,emily、木場 智士,solfa、i.o.sound、橋咲 透、伊吹 ユキヒロ、こはるん,あじ 秋刀魚、ヒマリ、桃山 いおん、結城 ほのか,easy、normal,6.8,798,5050,是,中篇,1497,科幻,雪,,,,,,,,,
pieces/渡り鳥のソムニウム,v23732,pieces/候鸟的梦,ピーシーズ、pieces、Wataridori no Somnium,2019,Whirlpool,R18,和泉 万夜、近江谷 宥,水鏡 まみず、やなせ あき,solfa、薬師 るり、菊地 創、橋咲 透、根本 克則,鈴谷 まや、鹿野 まなか、夏和小、そよかぜ みらい,easy、normal,6.9,511,4326,是,中篇,1244,梦境,,,,,,,,,,
タマユラミライ,v23501,玉响未来,深野协调魔法使,2019,Azurite,R18,籐太、にっし～,あめと ゆき、柚木 ガオ、茉宮 祈芹、いずみ ななせ,小高 光太郎、槇 タケポン、石倉 誉之,杏子 御津、杏 花、くすはら ゆい、八ッ橋 しなもん,easy、normal,6.9,838,3990,否,长篇,1800,奇幻,魔法,转生/轮回,民俗,,,,,,,
"さくら、もゆ。-as the Night's, Reincarnation-",v22313,"樱花、萌放。-as the Night's, Reincarnation-",SakuMoyu、樱摸鱼、樱花摸鱼、さくら、もゆ,2019,FAVORITE,R18,漆原 雪人,なつめ えり、司田 カズヒロ、ミズタマ、ヒラサト、わいっしゅ,忍、菊地 創、小高 光太郎、野崎 心平、石倉 誉之,夏和小、猫村 ゆき、要 しおり、南 るお,beginner、easy、normal,8.2,2647,245,否,超长篇,3660,奇幻,时间旅行,魔法,转生/轮回,末日,梦境,,,,,
青い空のカミュ,v23863,青空下的加缪,BSC、Camus in The Blue Sky、青空下的卡缪,2019,KAI,R18,〆鯖コハダ,〆鯖コハダ、Rapt,BLUE DOOR RECORD,榊原 ゆい、成瀬 未亜、蒼依 ハル,beginner、easy、normal,7.1,2105,3370,否,短篇,481,奇幻,末日,血腥,,,,,,,,
恋愛、借りちゃいました,v25366,,恋爱？那就给钱吧、れんかり、Renkari、Renai Karichaimashita、こいかり、Renai Karichaimashita: Koikari - Love For Hire、借恋,2019,ASa Project,R18,八日 なのか,夕凪 セシナ、結城 リカ、冬壱 もんめ、たかへろ、なつき ゆう、秋月 すいれん,山下 航生、朝霧 はやと、rian,花寺 香蓮、水野 七海、要 しおり、藤崎 紗矢香、飴川 紫乃,beginner、easy、normal,6.8,2179,4613,否,中篇,1743,夏天,多角恋,meta,,,,,,,,
流星ワールドアクター,v24110,流星世界演绎者,流星WA、Ryuusei WA,2019,Heliodor,R18,衣笠 彰梧,春夏冬 ゆう、Rapt,YUKI NAKANO、山口 たこ,柚原 みう、くすはら ゆい、花園 めい、花咲 恋未,easy、normal,6.9,827,4208,是,长篇,2003,悬疑,奇幻,超能力,魔法,阴谋,犯罪,真女主,,,,
9-nine-はるいろはるこいはるのかぜ Episode.3 Haruka Kousaka,v23740,9-nine-春色春恋春熙风,9はるいろ、9Haruiro、9 -Nine- Episode 3: Haruka Kousaka,2019,Palette,R18,かずき ふみ,ぺろ、和泉 つばす,虻川 治、堀江 晶太,澤田 なつ、寺竹 順、沢澤 砂羽、夏和小、渚 しろな,beginner、easy、normal,6.9,4019,4476,是,中篇,637,悬疑,战斗,奇幻,超能力,犯罪,meta,,,,,
きまぐれテンプテーション,v26000,异想魅惑,きまテン、Kimaten、魅魔星奏,2019,SILKY'S PLUS,R18,かずき ふみ,きみしま 青,solfa、橋咲 透、こはるん、未来,歩 サラ,easy、normal,7.2,1527,2775,是,中篇,637,悬疑,奇幻,转生/轮回,犯罪,民俗,单女主,,,,,
真愛の百合は赤く染まる,v26232,真爱的百合被染成红色,まなかし、Manakashi、真爱百合、真爱的百合被染成红色,2019,Bug System,R18,和泉 万夜,るび様、味噌 職人,電気、BURTON,八尋 まみ、風花 ましろ,easy、normal,5.4,1080,10237,否,中篇,820,血腥,犯罪,同性恋,,,,,,,,
抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？2,v23741,,抜きゲーみたいな島に住んでる貧乳（わたし）はどうすりゃいいですか？2、ぬきたし2、Nukitashi2、Is the prospect Hope or Despair?、拔作岛2、拔岛2,2019,Qruppo,R18,倉骨 治人、神近 ゆう,如月 千幸、浮丸 つぼね、胡太郎,えびかれー伯爵、ウミガメ、池木 紗々、かしこ,沢野 ぽぷら、わらび 茶々,beginner、easy、normal,8.1,2683,314,是,长篇,2548,阴谋,战斗,岛屿,,,,,,,,
MUSICUS!,v22783,,ムジクス、Musica!,2019,OVERDRIVE,R18,瀬戸口 廉也,すめらぎ 琥珀,細井 聡司、穴澤 淳、流田 豊、桃山 竜二、栗川 雅裕、出口 遼,神保 巴、橘 志穂、服巻 浩司、高橋 英則、古木 のぞみ、山本 和臣,easy、normal,8.5,704,107,否,长篇,2273,音乐主题,,,,,,,,,,
Evenicle -イブニクル- 2,v23742,夏娃年代记2,Evenicle2,2019,Alice Soft,R18,よーいちろー、ヨイドレ・ドラゴン、犬丼,織音、八重樫 南、瑠奈 璃亜、たっくん、奄美あまゆ,水夏 える、PKタートルズ,榛名 れん、藤咲 ウサ、歩 サラ、和央 きりか,easy、normal,6.9,773,4447,是,超长篇,3940,战斗,奇幻,疾病,,,,,,,,
